label;image;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
1-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/1-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
2-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/2-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
3-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/3-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
4-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/4-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
5-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/5-BLACK.png;
